,name,id,address_name,price_limit,Европейская кухня,Паназиатская кухня,Русская кухня,Американская кухня,Грузинская кухня,Постное меню,Вегетарианское меню,Cuisine,price_limit,office_time,reviews_general_rating,reviews_general_review_count
64,"Par, ресторан",70000001022023733,"Восстания, 40",1500.0,1,1,0,0,0,0,0,Европейская кухня; Азиатская кухня,1500.0,7.24,4.9,752.0
65,"Kiln, мясной рестобар",70000001081943459,"Чайковского, 36",1150.0,1,0,0,1,0,0,0,Американская кухня; Европейская кухня; Авторская кухня,1150.0,11.51,5.0,50.0
66,"Смольнинский, ресторан",5348552838497286,"Лафонская улица, 6",1000.0,1,0,1,0,0,0,0,Русская кухня,1000.0,15.89,1.6,2.0
67,"Blackwood pub & dublin pub, Blackwood Pub",70000001021210075,"Кирочная улица, 17",1200.0,1,0,0,1,0,0,0,Американская кухня; Европейская кухня; Авторская кухня,1200.0,8.45,4.6,166.0
68,"Muza, ресторан",70000001067333265,"Чайковского, 55",1200.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня,1200.0,11.38,4.9,7.0
69,"Таволата, ресторан",70000001041271836,"Лафонская улица, 6",2200.0,1,0,0,0,0,0,0,Европейская кухня,2200.0,17.09,5.0,3.0
70,"Mill, итальянское бистро",70000001075803507,"Чайковского, 36",1600.0,1,0,0,0,0,0,0,Итальянская кухня,1600.0,11.78,5.0,37.0
71,"Добрый Грузин, сеть ресторанов",70000001063944387,"Ярославская, 4",1500.0,1,0,0,0,1,0,0,Грузинская кухня,1500.0,14.76,4.7,119.0
72,"Мясонская ложа, стейк-бар",70000001031338380,"Рылеева, 23",1500.0,1,0,0,1,0,0,0,Американская кухня; Европейская кухня,1500.0,7.98,4.8,577.0
73,"Hop Hunting Club, ресторан-пивоварня",70000001061034264,"улица Комсомола, 1-3",1000.0,0,0,0,0,0,0,0,Авторская кухня,1000.0,21.27,4.9,46.0
74,"Kinza, ресторан",70000001021627303,"улица Комсомола, 10",800.0,1,1,0,0,0,0,0,Европейская кухня; Восточная кухня,800.0,19.55,3.5,47.0
75,"Чито Гврито, ресторан грузинской кухни",70000001089561152,"улица Комсомола, 35",1100.0,1,0,0,0,1,0,0,Грузинская кухня,1100.0,20.93,3.2,12.0
76,"Kontora, ресторан",70000001018381096,"Орловская, 1",1500.0,1,0,1,0,0,1,0,Европейская кухня; Русская кухня; Домашняя кухня,1500.0,20.85,4.4,14.0
77,"Дитай, китайский ресторан",5348552838482466,"Лесной проспект, 4",1800.0,0,1,0,0,0,0,0,Китайская кухня,1800.0,31.06,4.5,547.0
78,"Kazbegi, грузинский ресторан",70000001025343854,"Фурштатская улица, 24",1500.0,1,0,0,0,1,0,0,Грузинская кухня,1500.0,11.67,4.2,71.0
79,"Waiter, ресторан",70000001089281925,"Кирочная улица, 20",2200.0,1,0,0,0,0,0,0,Европейская кухня; Итальянская кухня; Средиземноморская кухня,2200.0,10.32,4.5,10.0
80,"Токио-City, городские рестораны",5348552838485481,"Чайковского, 18",900.0,0,1,0,0,0,1,0,Японская кухня,900.0,15.21,4.5,710.0
81,"Дв, ресторан",70000001063838552,"Смольный проспект, 5",1000.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня; Итальянская кухня,1000.0,16.17,4.7,27.0
82,"Холст, кафе",70000001081095154,"Чайковского, 23",500.0,1,0,0,0,0,0,0,Европейская кухня,500.0,15.69,4.2,37.0
83,"Монблан, кафе",70000001026155240,"Большой Сампсониевский проспект, 4-6 лит А",240.0,1,1,1,0,1,0,0,Русская кухня; Восточная кухня; Грузинская кухня,240.0,28.92,4.0,35.0
84,"Amber Gusto, гастрономический бар",70000001060806222,"3-я Советская улица, 48",1500.0,1,0,1,1,0,0,0,Европейская кухня; Русская кухня; Американская кухня,1500.0,12.86,4.2,33.0
85,"Банщики, ресторан русской кухни",70000001027285643,"Дегтярная, 1а",2500.0,1,0,1,0,0,0,0,Русская кухня,2500.0,13.22,4.8,409.0
86,Caribia,70000001068200284,"2-я Советская улица, 12",1900.0,1,0,1,0,0,0,0,Рыбная кухня; Авторская кухня; Средиземноморская кухня,1900.0,11.72,4.9,164.0
87,"Friends of friends, ресторан европейской кухни",70000001035533981,"Дегтярная, 1",1500.0,1,0,0,0,0,0,0,Европейская кухня; Авторская кухня; Итальянская кухня,1500.0,13.88,4.1,126.0
88,"Mama roma, ресторан итальянской кухни",5348552840600745,"Невский проспект, 142",1000.0,1,0,0,0,0,0,0,Итальянская кухня,1000.0,14.37,4.6,1357.0
89,"Meze, ресторан",70000001089561116,"Невский проспект, 140",2200.0,1,1,0,0,0,0,0,Средиземноморская кухня; Восточная кухня; Турецкая кухня,2200.0,14.22,4.2,46.0
90,"Хачапури&Хинкали, кафе",5348552838495482,"2-я Советская улица, 8",1200.0,1,0,0,0,1,0,0,Кавказская кухня; Грузинская кухня,1200.0,11.05,4.7,173.0
91,"Добрый Грузин, сеть ресторанов",70000001018693463,"Невский проспект, 111/3",1500.0,1,0,0,0,1,0,0,Грузинская кухня,1500.0,16.08,4.4,499.0
92,"Asiatiq, рамен-бар",70000001090949567,"Невский проспект, 130",900.0,0,1,0,0,0,0,0,Японская кухня; Паназиатская кухня; Азиатская кухня,900.0,13.27,4.4,55.0
93,"Marsala, гастробар",70000001045267084,"Гончарная, 26",1200.0,1,1,0,0,0,0,0,Европейская кухня; Итальянская кухня; Азиатская кухня,1200.0,16.65,4.3,214.0
94,"Бистро Гарсон , ресторан французской и грузинской кухни",5348552838501823,"Невский проспект, 95",1500.0,1,0,0,0,1,0,0,Французская кухня; Грузинская кухня,1500.0,13.6,4.6,102.0
95,"Memet&pir, турецкий мясной ресторан",70000001037016728,"2-я Советская улица, 4Б",2500.0,1,1,0,0,0,0,0,Турецкая кухня,2500.0,10.47,4.2,61.0
96,"Lale, ресторан турецкой кухни",70000001040692032,"Невский проспект, 91",2000.0,1,1,0,0,0,0,0,Европейская кухня; Турецкая кухня,2000.0,13.55,4.2,151.0
97,"Старый Тбилиси, ресторан",70000001034391996,"Невский проспект, 91",1500.0,1,0,0,0,1,0,0,Грузинская кухня,1500.0,13.54,4.3,212.0
98,"Paulaner, ресторан-пивоварня",5348552841422714,"Невский проспект, 89",1500.0,1,0,0,0,0,0,0,Европейская кухня,1500.0,13.53,3.2,96.0
99,"Par Michele Gastronomie, гастроателье",70000001065267697,"Полтавская, 5/29 лит Б",2000.0,1,0,0,0,0,0,0,Французская кухня; Авторская кухня,2000.0,17.74,4.5,8.0
100,"Причал 122 , рестобар",70000001065100363,"Невский проспект, 122",1000.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня,1000.0,13.22,3.9,10.0
101,"Tsinist, ресторан",70000001059126996,"Полтавская, 7",2000.0,1,1,0,0,0,0,0,Европейская кухня; Азиатская кухня,2000.0,17.95,4.5,135.0
102,"Bier könig, пивной ресторан",5348552838498308,"Невский проспект, 170",1000.0,1,0,1,0,0,0,0,Европейская кухня; Русская кухня; Немецкая кухня,1000.0,18.69,3.8,216.0
103,Дом грузинского вина,70000001031082358,"Невский проспект, 166",1200.0,1,0,0,0,1,0,0,Грузинская кухня,1200.0,19.04,4.6,78.0
